timestamp,analog_value,label
9962,2174.0,drill
9979,2175.0,drill
9996,2176.0,drill
10013,2170.0,drill
10030,2169.0,drill
10047,2174.0,drill
10064,2176.0,drill
10081,2162.0,drill
10098,2175.0,drill
10115,2173.0,drill
10132,2173.0,drill
10149,2171.0,drill
10166,2162.0,drill
10183,2161.0,drill
10200,2166.0,drill
10217,2165.0,drill
10234,2161.0,drill
10251,2160.0,drill
10268,2160.0,drill
10285,2176.0,drill
10302,2174.0,drill
10319,2173.0,drill
10336,2175.0,drill
10353,2170.0,drill
10370,2173.0,drill
10387,2174.0,drill
10404,2174.0,drill
10421,2173.0,drill
10438,2176.0,drill
10455,2176.0,drill
10472,2171.0,drill
10489,2176.0,drill
10506,2175.0,drill
10523,2178.0,drill
10540,2175.0,drill
10557,2166.0,drill
10574,2173.0,drill
10591,2176.0,drill
10608,2171.0,drill
10625,2175.0,drill
10642,2172.0,drill
10659,2171.0,drill
10676,2169.0,drill
10693,2173.0,drill
10710,2173.0,drill
10727,2173.0,drill
10744,2170.0,drill
10761,2175.0,drill
10778,2174.0,drill
10795,2229.0,drill
10812,2291.0,drill
10829,2017.0,drill
10846,2081.0,drill
10863,1974.0,drill
10880,2224.0,drill
10897,2162.0,drill
10914,2230.0,drill
10931,1956.0,drill
10948,1808.0,drill
10965,2207.0,drill
10982,1989.0,drill
10999,2175.0,drill
11016,2147.0,drill
11033,2178.0,drill
11050,1951.0,drill
11067,1963.0,drill
11084,2256.0,drill
11101,2089.0,drill
11118,2203.0,drill
11135,2401.0,drill
11152,1847.0,drill
11169,2225.0,drill
11186,2326.0,drill
11203,2209.0,drill
11220,2362.0,drill
11237,1662.0,drill
11254,2091.0,drill
11271,2299.0,drill
11288,2029.0,drill
11305,2190.0,drill
11322,1972.0,drill
11339,2141.0,drill
11356,1962.0,drill
11373,1919.0,drill
11390,1705.0,drill
11407,2059.0,drill
11424,2151.0,drill
11441,1982.0,drill
11458,1833.0,drill
11475,2129.0,drill
11492,2170.0,drill
11509,2239.0,drill
11526,2127.0,drill
11543,1977.0,drill
11560,2152.0,drill
11577,2126.0,drill
11594,1964.0,drill
11611,2251.0,drill
11628,1824.0,drill
11645,2349.0,drill
11662,2197.0,drill
11679,2253.0,drill
11696,1973.0,drill
11713,2385.0,drill
11730,2315.0,drill
11747,2236.0,drill
11764,2279.0,drill
11781,2598.0,drill
11798,2432.0,drill
11815,2214.0,drill
11832,1826.0,drill
11849,2075.0,drill
11866,2416.0,drill
11883,2097.0,drill
11900,2624.0,drill
11917,2256.0,drill
11934,2151.0,drill
11951,2029.0,drill
11968,2092.0,drill
11985,2401.0,drill
12002,2234.0,drill
12019,2288.0,drill
12036,1858.0,drill
12053,1993.0,drill
12070,1766.0,drill
12087,1998.0,drill
12104,2031.0,drill
12121,2319.0,drill
12138,1952.0,drill
12155,1762.0,drill
12172,2087.0,drill
12189,2382.0,drill
12206,1949.0,drill
12223,2349.0,drill
12240,2122.0,drill
12257,2023.0,drill
12274,1881.0,drill
12291,2274.0,drill
12308,2282.0,drill
12325,2067.0,drill
12342,2229.0,drill
12359,1991.0,drill
12376,2223.0,drill
12393,1973.0,drill
12410,1979.0,drill
12427,2769.0,drill
12444,2338.0,drill
12461,2311.0,drill
12478,2058.0,drill
12495,1941.0,drill
12512,2294.0,drill
12529,2347.0,drill
12546,2499.0,drill
12563,2130.0,drill
12580,2133.0,drill
12597,2017.0,drill
12614,2237.0,drill
12631,1897.0,drill
12648,1962.0,drill
12665,2226.0,drill
12682,2406.0,drill
12699,2169.0,drill
12716,2148.0,drill
12733,1835.0,drill
12750,2295.0,drill
12767,2273.0,drill
12784,2213.0,drill
12801,2226.0,drill
12818,2057.0,drill
12835,1791.0,drill
