timestamp,analog_value,label
9856,2154.0,shout
9884,2159.0,shout
9912,2157.0,shout
9940,2171.0,shout
9968,2177.0,shout
9996,2166.0,shout
10024,2165.0,shout
10052,2173.0,shout
10080,2169.0,shout
10108,2173.0,shout
10136,2166.0,shout
10164,2174.0,shout
10192,2161.0,shout
10220,2176.0,shout
10248,2165.0,shout
10276,2171.0,shout
10304,2167.0,shout
10332,2171.0,shout
10360,2172.0,shout
10388,2321.0,shout
10416,2540.0,shout
10444,2531.0,shout
10472,2642.0,shout
10500,2284.0,shout
10528,1919.0,shout
10556,2386.0,shout
10584,2442.0,shout
10612,2442.0,shout
10640,2218.0,shout
10668,2251.0,shout
10696,2241.0,shout
10724,2210.0,shout
10752,2476.0,shout
10780,2710.0,shout
10808,2983.0,shout
10836,1916.0,shout
10864,2064.0,shout
10892,2947.0,shout
10920,2134.0,shout
10948,2677.0,shout
10976,2319.0,shout
11004,2154.0,shout
11032,1919.0,shout
11060,2671.0,shout
11088,2354.0,shout
11116,1866.0,shout
11144,2618.0,shout
11172,1929.0,shout
11200,2512.0,shout
11228,1492.0,shout
11256,2347.0,shout
11284,2107.0,shout
11312,2189.0,shout
11340,2316.0,shout
11368,2256.0,shout
11396,2234.0,shout
11424,2895.0,shout
11452,2026.0,shout
11480,1910.0,shout
11508,2428.0,shout
11536,2155.0,shout
11564,2155.0,shout
11592,2919.0,shout
11620,2317.0,shout
11648,1982.0,shout
11676,2559.0,shout
11704,1873.0,shout
11732,1968.0,shout
11760,2302.0,shout
11788,2302.0,shout
11816,2096.0,shout
11844,1491.0,shout
11872,2379.0,shout
11900,2374.0,shout
11928,2176.0,shout
11956,2317.0,shout
11984,2294.0,shout
12012,2211.0,shout
12040,1535.0,shout
12068,2894.0,shout
12096,2064.0,shout
12124,2387.0,shout
12152,2453.0,shout
12180,2480.0,shout
12208,2480.0,shout
12236,2303.0,shout
12264,2305.0,shout
12292,2047.0,shout
12320,2032.0,shout
12348,2032.0,shout
12376,2347.0,shout
12404,2283.0,shout
12432,2383.0,shout
12460,2391.0,shout
12488,2323.0,shout
12516,2277.0,shout
12544,2548.0,shout
12572,1680.0,shout
12600,1726.0,shout
12628,2266.0,shout
12656,2379.0,shout
12684,2016.0,shout
12712,2287.0,shout
12740,2458.0,shout
12768,1979.0,shout
12796,2201.0,shout
12824,2239.0,shout
12852,1535.0,shout
12880,2389.0,shout
12908,2535.0,shout
12936,2147.0,shout
12964,2039.0,shout
12992,2303.0,shout
13020,2346.0,shout
13048,2384.0,shout
13076,2247.0,shout
13104,2127.0,shout
13132,2454.0,shout
13160,2319.0,shout
13188,2495.0,shout
13216,2193.0,shout
13244,2096.0,shout
13272,1955.0,shout
13300,1983.0,shout
13328,2359.0,shout
13356,2337.0,shout
13384,1968.0,shout
13412,2255.0,shout
13440,1739.0,shout
13468,1567.0,shout
13496,2061.0,shout
13524,2531.0,shout
13552,1805.0,shout
13580,2543.0,shout
13608,1982.0,shout
13636,2320.0,shout
13664,2402.0,shout
13692,2330.0,shout
13720,2182.0,shout
13748,2547.0,shout
13776,1987.0,shout
13804,1987.0,shout
13832,1641.0,shout
13860,2275.0,shout
13888,2558.0,shout
13916,2455.0,shout
13944,2167.0,shout
13972,2559.0,shout
14000,2128.0,shout
14028,2112.0,shout
14056,1954.0,shout
14084,2074.0,shout
14112,2242.0,shout
14140,2183.0,shout
14168,2838.0,shout
14196,1916.0,shout
14224,2294.0,shout
14252,2189.0,shout
14280,2272.0,shout
14308,1799.0,shout
14336,2619.0,shout
14364,2043.0,shout
14392,2055.0,shout
14420,2009.0,shout
14448,2093.0,shout
14476,2559.0,shout
14504,2257.0,shout
14532,2363.0,shout
14560,2494.0,shout
14588,1987.0,shout
14616,2414.0,shout
14644,2064.0,shout
14672,1939.0,shout
14700,2175.0,shout
14728,2538.0,shout
14756,2369.0,shout
