timestamp,analog_value,label
4981,2221.0,background
4998,2067.0,background
5015,2094.0,background
5032,2288.0,background
5049,1835.0,background
5066,2088.0,background
5083,2581.0,background
5100,1747.0,background
5117,2304.0,background
5134,2115.0,background
5151,2105.0,background
5168,1949.0,background
5185,2270.0,background
5202,2428.0,background
5219,2288.0,background
5236,2237.0,background
5253,2074.0,background
5270,2161.0,background
5287,2629.0,background
5304,2331.0,background
5321,2405.0,background
5338,2021.0,background
5355,2128.0,background
5372,2226.0,background
5389,2160.0,background
5406,2515.0,background
5423,2043.0,background
5440,2276.0,background
5457,2070.0,background
5474,2026.0,background
5491,2002.0,background
5508,2665.0,background
5525,2639.0,background
5542,1932.0,background
5559,2180.0,background
5576,2015.0,background
5593,2021.0,background
5610,2154.0,background
5627,2121.0,background
5644,2250.0,background
5661,2196.0,background
5678,2480.0,background
5695,2105.0,background
5712,1919.0,background
5729,2148.0,background
5746,2464.0,background
5763,1904.0,background
5780,2507.0,background
5797,2222.0,background
5814,2128.0,background
5831,2302.0,background
5848,2067.0,background
5865,2337.0,background
5882,2197.0,background
5899,2421.0,background
5916,2192.0,background
5933,1700.0,background
5950,2283.0,background
5967,2085.0,background
5984,1673.0,background
6001,2099.0,background
6018,1978.0,background
6035,2439.0,background
6052,2157.0,background
6069,2599.0,background
6086,2246.0,background
6103,1815.0,background
6120,2138.0,background
6137,2448.0,background
6154,2267.0,background
6171,2594.0,background
6188,1985.0,background
6205,2226.0,background
6222,2109.0,background
6239,2045.0,background
6256,2005.0,background
6273,2235.0,background
6290,2110.0,background
6307,2160.0,background
6324,2128.0,background
6341,2313.0,background
6358,2327.0,background
6375,2032.0,background
6392,2108.0,background
6409,2224.0,background
6426,2226.0,background
6443,1936.0,background
6460,2151.0,background
6477,2294.0,background
6494,1817.0,background
6511,2224.0,background
6528,2221.0,background
6545,2467.0,background
6562,2302.0,background
6579,2259.0,background
6596,1916.0,background
6613,2348.0,background
6630,2065.0,background
6647,2251.0,background
6664,1776.0,background
6681,2090.0,background
6698,2180.0,background
6715,2167.0,background
6732,2177.0,background
6749,2173.0,background
6766,2173.0,background
6783,2169.0,background
6800,2173.0,background
6817,2179.0,background
6834,2176.0,background
6851,2175.0,background
6868,2174.0,background
6885,2174.0,background
6902,2173.0,background
6919,2170.0,background
6936,2173.0,background
6953,2161.0,background
6970,2161.0,background
6987,2163.0,background
7004,2160.0,background
7021,2160.0,background
7038,2163.0,background
7055,2174.0,background
7072,2171.0,background
7089,2172.0,background
7106,2177.0,background
7123,2175.0,background
7140,2173.0,background
7157,2171.0,background
7174,2173.0,background
7191,2177.0,background
7208,2174.0,background
7225,2175.0,background
7242,2175.0,background
7259,2174.0,background
7276,2171.0,background
7293,2175.0,background
7310,2173.0,background
7327,2176.0,background
7344,2176.0,background
7361,2171.0,background
7378,2171.0,background
7395,2173.0,background
7412,2175.0,background
7429,2176.0,background
7446,2175.0,background
7463,2174.0,background
7480,2173.0,background
7497,2176.0,background
7514,2173.0,background
7531,2170.0,background
7548,2174.0,background
7565,2176.0,background
7582,2155.0,background
7599,2160.0,background
7616,2160.0,background
7633,2161.0,background
7650,2162.0,background
7667,2161.0,background
7684,2161.0,background
7701,2160.0,background
7718,2171.0,background
7735,2173.0,background
7752,2175.0,background
7769,2174.0,background
7786,2172.0,background
7803,2174.0,background
7820,2173.0,background
7837,2175.0,background
7854,2176.0,background
7871,2176.0,background
7888,2174.0,background
7905,2176.0,background
7922,2169.0,background
7939,2173.0,background
7956,2173.0,background
7973,2173.0,background
7990,2171.0,background
8007,2173.0,background
8024,2173.0,background
8041,2166.0,background
8058,2179.0,background
8075,2171.0,background
8092,2167.0,background
8109,2173.0,background
8126,2172.0,background
8143,2174.0,background
8160,2170.0,background
8177,2174.0,background
8194,2172.0,background
8211,2175.0,background
8228,2173.0,background
8245,2176.0,background
8262,2175.0,background
8279,2177.0,background
8296,2173.0,background
8313,2173.0,background
8330,2177.0,background
8347,2176.0,background
8364,2173.0,background
8381,2171.0,background
8398,2172.0,background
8415,2174.0,background
8432,2173.0,background
8449,2175.0,background
8466,2175.0,background
8483,2175.0,background
8500,2175.0,background
8517,2173.0,background
8534,2174.0,background
8551,2171.0,background
8568,2173.0,background
8585,2170.0,background
8602,2173.0,background
8619,2176.0,background
8636,2174.0,background
8653,2175.0,background
8670,2176.0,background
8687,2173.0,background
8704,2176.0,background
8721,2176.0,background
8738,2166.0,background
8755,2174.0,background
8772,2171.0,background
8789,2167.0,background
8806,2175.0,background
8823,2174.0,background
8840,2170.0,background
8857,2175.0,background
8874,2175.0,background
8891,2177.0,background
8908,2173.0,background
8925,2174.0,background
8942,2174.0,background
8959,2173.0,background
8976,2171.0,background
8993,2170.0,background
9010,2174.0,background
9027,2175.0,background
9044,2174.0,background
9061,2174.0,background
9078,2170.0,background
9095,2175.0,background
9112,2173.0,background
9129,2174.0,background
9146,2177.0,background
9163,2172.0,background
9180,2174.0,background
9197,2160.0,background
9214,2173.0,background
9231,2176.0,background
9248,2173.0,background
9265,2170.0,background
9282,2173.0,background
9299,2174.0,background
9316,2171.0,background
9333,2174.0,background
9350,2172.0,background
9367,2172.0,background
9384,2176.0,background
9401,2175.0,background
9418,2174.0,background
9435,2172.0,background
9452,2172.0,background
9469,2170.0,background
9486,2173.0,background
9503,2172.0,background
9520,2160.0,background
9537,2171.0,background
9554,2171.0,background
9571,2176.0,background
9588,2171.0,background
9605,2175.0,background
9622,2175.0,background
9639,2174.0,background
9656,2172.0,background
9673,2175.0,background
9690,2171.0,background
9707,2171.0,background
9724,2170.0,background
9741,2178.0,background
9758,2169.0,background
9775,2173.0,background
9792,2173.0,background
9809,2172.0,background
9826,2176.0,background
9843,2163.0,background
9860,2161.0,background
9877,2160.0,background
9894,2163.0,background
9911,2160.0,background
9928,2160.0,background
9945,2162.0,background
9962,2162.0,background
9979,2161.0,background
9996,2163.0,background
10013,2162.0,background
10030,2162.0,background
10047,2161.0,background
10064,2162.0,background
10081,2162.0,background
10098,2162.0,background
10115,2161.0,background
10132,2162.0,background
10149,2162.0,background
10166,2161.0,background
